dLQbcccdegj, tet1: 0, tet2: 2, searched: 1, height: 1
mLLPzLAPQccdeggjilkkkllnomonqrexpaj, tet1: 7, tet2: 10, searched: 3335, height: 4
mLLAPLzPQcdecgfhjkklllhsmrwsagmedec, tet1: 9, tet2: 6, searched: 2935, height: 4
nLLLLPzMQkacfhfjihlmmklmnkgikmiskxljjp, tet1: 8, tet2: 10, searched: 1622, height: 5
mLLAPLzPQcdecgfhjkklllqsmjwsagmedec, tet1: 9, tet2: 6, searched: 2962, height: 4
nLAwLzQLMkcbbdfhhjikllmmhhkhoaoloowjds, tet1: 5, tet2: 10, searched: 923, height: 5
nLLALPLLQkbdcefhhjkmmlmldwnxjxlvjapihk, tet1: 9, tet2: 12, searched: 2757, height: 5
nLALPvwQMkbcbegfjijllmlmxxnnuppgjauqgn, tet1: 10, tet2: 7, searched: 860, height: 5
mLLLMwLQQccfehfilljklkdwahnfatobrkr, tet1: 10, tet2: 9, searched: 3961, height: 4
kLALLzQkcbbehihjijjhqnoxmnadpf, tet1: 5, tet2: 8, searched: 30, height: 2
oLLMLzwAAQcbeefehiijmmlmnnhhamawamcuxjaij, tet1: 9, tet2: 12, searched: 5614, height: 6
nLLPLMwQzkbcdefgihkjklmmpkfpwcduixblqw, tet1: 9, tet2: 11, searched: 1129, height: 5
kLALLwQkcbbehhijijjhqnohwdaxdb, tet1: 7, tet2: 5, searched: 27, height: 2
jLALLMQbcbehhgiiihhjshrfapp, tet1: 4, tet2: 8, searched: 313, height: 1
kLLALLQkcedchhijijjqqvnqxhamgo, tet1: 6, tet2: 8, searched: 23, height: 2
oLLPMLLPLQccdcefgijjlnmmmnqsnpuunuutqiiun, tet1: 11, tet2: 6, searched: 1684, height: 6
nLLLLAwQMkccfhifjhjlllmmdwasnfurahwsqj, tet1: 11, tet2: 10, searched: 1020, height: 5
kLLMLMAkcddegghhijjigvhvwemvxk, tet1: 4, tet2: 7, searched: 212, height: 2
nLLLLAwQMkccfhifjhjlllmmdwasnfurahwshr, tet1: 11, tet2: 10, searched: 1092, height: 5
lLLzLPQPccdcggjhijkkkhsnsoaohhwvs, tet1: 10, tet2: 7, searched: 170, height: 3
kLAvLAQkbcbgfhihjjjhhjhqwbbxel, tet1: 9, tet2: 6, searched: 67, height: 2
kLAvvQQkbcbhgjjhiijxxnagjkobfg, tet1: 7, tet2: 6, searched: 45, height: 2
nLALPvwQMkbcbegfjijllmlmxxnnuppgjauqgj, tet1: 10, tet2: 7, searched: 987, height: 5
mLALLPLMQbcbfgigiklkllxhjptwrolrwjg, tet1: 10, tet2: 6, searched: 1278, height: 4
kLAvvQQkbcbhgjjhiijhxwagjkobfg, tet1: 7, tet2: 6, searched: 45, height: 2
kLLALLQkcedchhijijjqqvjqxhamgo, tet1: 6, tet2: 8, searched: 23, height: 2
lLALzMLQccbbegghkjkjkhqjohrwprjvf, tet1: 4, tet2: 10, searched: 71, height: 3
